employee_id,department,database_criticality,days_since_last_rotation,reminders_ignored,magic_link_clicked,caused_breach
EMP-0063,Engineering,Low,212,6,0,0
EMP-0064,Sales,High,64,1,1,1
EMP-0065,Finance,Low,233,11,1,1
EMP-0066,IT,Low,381,10,1,1
EMP-0067,Sales,Medium,233,5,1,1
EMP-0068,HR,High,129,4,1,1
EMP-0069,IT,High,349,9,1,0
EMP-0070,Marketing,Low,85,0,0,0
EMP-0071,IT,High,180,5,1,0
EMP-0072,HR,Critical,316,8,1,1
EMP-0073,Engineering,Critical,188,3,0,0
EMP-0074,Sales,Medium,93,4,1,0
EMP-0075,Finance,Critical,162,2,0,0
EMP-0076,Finance,Critical,248,11,1,1
EMP-0077,Marketing,High,96,3,1,0
EMP-0078,Marketing,Critical,126,4,1,0
EMP-0079,Engineering,Low,119,3,1,0
EMP-0080,Finance,Medium,33,1,1,0
EMP-0081,Engineering,Medium,356,11,1,1
EMP-0082,IT,High,346,5,1,0
EMP-0083,Marketing,Critical,207,4,1,1
EMP-0084,Sales,Medium,110,3,0,0
EMP-0085,Finance,High,123,3,1,0
EMP-0086,Engineering,Low,34,0,1,0
EMP-0087,Finance,Critical,102,1,0,1
EMP-0088,Finance,High,141,1,1,0
EMP-0089,Engineering,High,290,10,1,1
EMP-0090,HR,Medium,272,7,1,1
EMP-0091,Finance,High,252,4,0,1
EMP-0092,Engineering,Critical,291,4,1,1
EMP-0093,Marketing,Critical,347,12,0,1
EMP-0094,Marketing,Critical,208,4,1,1
EMP-0095,IT,Low,52,1,0,0
EMP-0096,Engineering,Medium,171,3,1,0
EMP-0097,Finance,High,39,1,1,1
EMP-0098,Finance,Medium,53,0,1,0
EMP-0099,Sales,Medium,89,0,1,0
EMP-0100,Marketing,Medium,149,1,0,0
EMP-0101,Finance,Critical,153,4,1,0
EMP-0102,HR,Low,145,1,1,0
EMP-0103,Sales,Medium,64,0,0,0
EMP-0104,HR,Low,71,0,0,0
EMP-0105,HR,Critical,331,10,1,1
EMP-0106,Sales,Low,36,0,0,0
EMP-0107,Marketing,High,59,0,1,0
EMP-0108,HR,Critical,127,1,0,0
EMP-0109,Marketing,Critical,98,3,1,0
EMP-0110,Finance,Low,66,0,1,0
EMP-0111,HR,Low,86,0,1,0
EMP-0112,Engineering,Critical,293,8,1,0
EMP-0113,Marketing,Critical,309,4,1,1
EMP-0114,Finance,Medium,266,12,1,0
EMP-0115,HR,Critical,152,1,1,1
EMP-0116,Engineering,Medium,293,9,0,0
EMP-0117,Finance,Critical,135,2,1,0
EMP-0118,IT,Medium,150,4,1,0
EMP-0119,Engineering,Medium,170,3,1,0
EMP-0120,Sales,Critical,171,1,1,1
EMP-0121,HR,High,108,3,1,0
EMP-0122,Sales,Medium,231,8,0,0
EMP-0123,Sales,Medium,260,7,1,0
EMP-0124,Finance,High,395,8,1,1
EMP-0125,Finance,Medium,123,1,1,0
EMP-0126,Finance,Critical,69,1,0,0
EMP-0127,Marketing,Low,147,3,1,0
EMP-0128,Finance,High,161,3,1,0
EMP-0129,Engineering,Critical,224,8,1,1
EMP-0130,Sales,High,260,11,0,1
EMP-0131,Marketing,Medium,50,0,1,0
EMP-0132,Finance,High,72,0,1,0
EMP-0133,HR,High,80,1,1,1
EMP-0134,Finance,Critical,70,1,0,0
EMP-0135,Finance,Low,174,4,1,0
EMP-0136,Finance,Medium,194,10,1,0
EMP-0137,Finance,Low,264,12,1,1
EMP-0138,Marketing,Low,248,11,0,1
EMP-0139,HR,Low,317,9,1,0
EMP-0140,HR,High,111,4,1,0
EMP-0141,Finance,Low,95,1,0,0
EMP-0142,Engineering,Critical,104,3,0,0
EMP-0143,Engineering,Medium,105,3,0,0
EMP-0144,IT,High,397,12,0,1
EMP-0145,Sales,Critical,234,8,1,1
EMP-0146,Sales,Medium,54,1,0,1
EMP-0147,Sales,High,388,3,0,1
EMP-0148,Marketing,Medium,297,8,1,1
EMP-0149,Marketing,Low,333,4,0,1
EMP-0150,Engineering,High,239,12,1,1
EMP-0151,HR,Medium,358,10,0,1
EMP-0152,Sales,Medium,203,6,1,1
EMP-0153,HR,Medium,51,0,0,0
EMP-0154,Marketing,Low,293,11,1,0
EMP-0155,IT,High,156,2,1,0
EMP-0156,Marketing,Low,142,2,1,0
EMP-0157,Sales,Medium,341,5,1,1
EMP-0158,HR,Medium,345,4,0,1
EMP-0159,HR,High,31,0,1,0
EMP-0160,Finance,Critical,201,10,0,1
EMP-0161,IT,Medium,141,1,1,0
EMP-0162,Engineering,Low,388,4,1,0
EMP-0163,Engineering,Medium,45,1,0,1
EMP-0164,Marketing,High,30,0,0,0
EMP-0165,Sales,Medium,294,11,0,1
EMP-0166,Sales,High,336,11,0,1
EMP-0167,IT,Medium,285,11,1,1
EMP-0168,Marketing,Low,104,1,1,0
EMP-0169,Engineering,Low,276,11,0,1
EMP-0170,Sales,Low,290,11,0,1
EMP-0171,Sales,Medium,398,9,1,1
EMP-0172,Marketing,High,320,5,1,1
EMP-0173,Finance,Critical,392,8,1,1
EMP-0174,Engineering,Medium,278,11,0,1
EMP-0175,Finance,Critical,268,11,0,1
EMP-0176,Finance,High,41,1,1,0
EMP-0177,Engineering,Low,53,1,0,0
EMP-0178,IT,Medium,344,10,1,0
EMP-0179,HR,Low,367,3,0,1
EMP-0180,IT,Medium,210,4,1,0
EMP-0181,Finance,Medium,371,8,1,1
EMP-0182,IT,Low,348,8,1,1
EMP-0183,HR,High,289,8,1,1
EMP-0184,Engineering,Low,270,6,1,0
EMP-0185,Sales,High,193,9,1,1
EMP-0186,IT,High,48,1,1,0
EMP-0187,Finance,Low,298,3,1,0
EMP-0188,IT,Medium,324,12,1,1
EMP-0189,Engineering,Low,253,10,0,1
EMP-0190,Marketing,High,118,1,0,0
EMP-0191,IT,High,395,5,0,1
EMP-0192,Engineering,Critical,306,10,0,1
EMP-0193,IT,Critical,77,0,0,1
EMP-0194,Finance,Low,166,3,0,1
EMP-0195,IT,High,369,7,0,1
EMP-0196,Marketing,Medium,106,2,1,0
EMP-0197,Finance,Low,336,9,1,1
EMP-0198,IT,Low,316,10,1,1
EMP-0199,Sales,High,219,6,0,1
EMP-0200,Engineering,Critical,152,1,1,0
EMP-0201,Engineering,High,292,7,1,1
EMP-0202,HR,High,79,0,1,0
EMP-0203,Finance,Low,357,4,1,1
EMP-0204,IT,High,292,12,1,1
EMP-0205,Engineering,Medium,350,11,1,1
EMP-0206,Finance,High,297,10,0,1
EMP-0207,IT,Medium,138,3,1,0
EMP-0208,Finance,Critical,369,11,0,1
EMP-0209,HR,Critical,229,8,0,1
EMP-0210,HR,Low,61,1,1,0
EMP-0211,Sales,Low,240,9,0,1
EMP-0212,Finance,Critical,72,0,1,0
EMP-0213,IT,High,198,12,1,0
EMP-0214,Engineering,Critical,134,4,1,1
EMP-0215,Sales,Medium,123,1,1,0
EMP-0216,Engineering,Critical,182,6,1,1
EMP-0217,IT,Medium,215,9,1,0
EMP-0218,Marketing,Medium,157,1,1,0
EMP-0219,Engineering,Low,241,11,1,0
EMP-0220,Finance,Critical,222,11,0,1
EMP-0221,Sales,Medium,254,8,1,0
EMP-0222,Sales,Medium,316,7,1,0
EMP-0223,Sales,High,302,8,1,0
EMP-0224,IT,Critical,58,1,1,0
EMP-0225,Finance,Low,100,2,0,0
EMP-0226,Marketing,Low,153,2,1,0
EMP-0227,HR,Low,130,1,0,0
EMP-0228,Finance,Low,289,11,0,1
EMP-0229,IT,Medium,189,9,0,1
EMP-0230,Marketing,Critical,181,9,1,0
EMP-0231,Engineering,Medium,375,5,1,1
EMP-0232,IT,Medium,360,12,1,0
EMP-0233,Finance,Low,56,0,0,1
EMP-0234,IT,Low,259,4,1,0
EMP-0235,IT,Critical,205,11,1,1
EMP-0236,Finance,Low,337,11,1,1
EMP-0237,Sales,Medium,212,3,1,0
EMP-0238,Finance,Low,173,2,1,0
EMP-0239,HR,High,37,0,1,0
EMP-0240,IT,Critical,40,1,0,1
EMP-0241,Marketing,High,262,8,0,1
EMP-0242,Sales,High,277,6,0,1
EMP-0243,Marketing,Low,140,4,1,0
EMP-0244,Engineering,Medium,257,8,0,1
EMP-0245,Sales,Critical,166,2,1,0
EMP-0246,Finance,Low,260,4,1,1
EMP-0247,Finance,Critical,256,3,1,1
EMP-0248,Marketing,Critical,256,7,1,1
EMP-0249,HR,Critical,254,4,0,1
EMP-0250,HR,Low,63,1,0,0
EMP-0251,Finance,Critical,91,3,0,0
EMP-0252,IT,Medium,147,3,1,0
EMP-0253,HR,Low,237,4,1,0
EMP-0254,IT,Low,160,2,1,0
EMP-0255,IT,Medium,366,7,1,1
EMP-0256,Finance,Medium,274,5,1,0
EMP-0257,Marketing,Low,316,7,1,0
EMP-0258,Marketing,Low,63,1,1,0
EMP-0259,Finance,High,364,6,1,0
EMP-0260,Finance,High,32,0,1,0
EMP-0261,HR,Low,339,10,1,1
EMP-0262,Engineering,Critical,113,3,1,0
EMP-0263,Marketing,High,166,2,1,0
EMP-0264,Sales,Low,342,6,1,1
EMP-0265,Engineering,Critical,246,4,0,1
EMP-0266,Sales,Low,386,5,1,0
EMP-0267,Marketing,Low,287,4,1,1
EMP-0268,Marketing,Critical,369,3,1,1
EMP-0269,IT,High,206,9,1,1
EMP-0270,Marketing,Medium,355,12,1,1
EMP-0271,Finance,Medium,234,3,0,1
EMP-0272,Sales,Medium,138,1,1,0
EMP-0273,Engineering,Medium,223,11,1,1
EMP-0274,HR,Medium,105,4,0,0
EMP-0275,Finance,Low,98,4,0,0
EMP-0276,Finance,Medium,282,10,1,1
EMP-0277,Sales,Critical,268,10,0,1
EMP-0278,Engineering,Medium,367,9,1,0
EMP-0279,Marketing,High,64,0,1,1
EMP-0280,Sales,Critical,315,9,1,1
EMP-0281,HR,High,340,6,1,1
EMP-0282,IT,Medium,31,1,1,0
EMP-0283,IT,Critical,367,3,0,1
EMP-0284,Finance,Medium,376,3,0,0
EMP-0285,HR,Critical,236,9,1,1
EMP-0286,Marketing,Critical,65,0,1,0
EMP-0287,Sales,Medium,55,1,0,0
EMP-0288,IT,Medium,247,7,1,1
EMP-0289,HR,Critical,236,6,0,1
EMP-0290,HR,High,196,8,1,1
EMP-0291,Engineering,High,57,1,0,0
EMP-0292,Marketing,High,169,2,0,0
EMP-0293,Finance,High,370,7,0,1
EMP-0294,HR,Medium,171,1,0,0
EMP-0295,HR,Critical,231,11,1,1
EMP-0296,Sales,Critical,74,1,1,0
EMP-0297,Engineering,High,123,1,1,0
EMP-0298,IT,High,62,0,0,1
EMP-0299,IT,Critical,260,3,1,1
EMP-0300,Marketing,Medium,31,0,0,0
EMP-0301,IT,High,373,6,1,1
EMP-0302,Marketing,Medium,152,3,1,0
EMP-0303,Marketing,Medium,174,2,1,0
EMP-0304,Finance,High,209,6,0,1
EMP-0305,Sales,Medium,278,12,1,1
EMP-0306,Finance,Critical,30,0,1,1
EMP-0307,HR,Medium,391,3,1,1
EMP-0308,Marketing,Critical,269,12,0,1
EMP-0309,HR,Low,293,6,0,1
EMP-0310,Engineering,High,188,5,1,0
EMP-0311,Marketing,Medium,348,12,1,0
EMP-0312,Sales,High,141,4,1,0
EMP-0313,Finance,Critical,147,4,1,0
EMP-0314,Engineering,Medium,64,1,0,1
EMP-0315,Finance,Critical,169,1,1,0
EMP-0316,Finance,Low,389,6,1,0
EMP-0317,Sales,Critical,352,10,1,1
EMP-0318,Engineering,Medium,102,1,0,0
EMP-0319,Sales,High,37,0,1,0
EMP-0320,HR,Critical,359,8,1,1
EMP-0321,IT,Critical,134,1,0,1
EMP-0322,IT,High,59,1,1,0
EMP-0323,Marketing,Medium,188,6,0,0
EMP-0324,Engineering,Low,220,11,0,1
EMP-0325,HR,Low,252,4,1,1
EMP-0326,Finance,Medium,385,10,1,1
EMP-0327,Finance,Critical,73,0,1,0
EMP-0328,Sales,Medium,325,5,0,0
EMP-0329,Marketing,Medium,381,5,1,1
EMP-0330,Finance,Low,280,7,1,1
EMP-0331,Sales,High,85,0,1,0
EMP-0332,IT,Low,225,5,1,1
EMP-0333,HR,High,185,6,1,0
EMP-0334,Engineering,High,282,7,1,1
EMP-0335,Sales,Critical,106,3,0,0
EMP-0336,HR,High,242,7,1,1
EMP-0337,HR,High,269,10,1,1
EMP-0338,IT,Medium,54,1,1,0
EMP-0339,HR,Medium,147,3,1,0
EMP-0340,IT,High,150,2,0,0
EMP-0341,Marketing,High,337,3,0,1
EMP-0342,Finance,High,213,3,1,0
EMP-0343,Sales,High,108,2,0,0
EMP-0344,Engineering,Critical,393,11,1,1
EMP-0345,Engineering,High,208,5,0,0
EMP-0346,Marketing,Medium,121,2,0,0
EMP-0347,Sales,High,143,3,0,0
EMP-0348,Sales,High,181,12,1,0
EMP-0349,Finance,Low,216,3,1,1
EMP-0350,Finance,Medium,99,4,0,1
EMP-0351,Marketing,Medium,64,1,1,0
EMP-0352,Sales,Low,336,10,1,0
EMP-0353,Sales,Medium,156,4,1,0
EMP-0354,IT,Critical,209,6,1,1
EMP-0355,HR,Critical,333,10,1,0
EMP-0356,Engineering,Critical,375,9,0,1
EMP-0357,Engineering,Low,291,12,1,1
EMP-0358,Sales,High,114,1,1,0
EMP-0359,HR,Low,110,4,1,0
EMP-0360,Finance,Critical,320,7,1,1
EMP-0361,IT,Medium,159,3,1,0
EMP-0362,Sales,Medium,43,0,1,0
EMP-0363,Sales,High,373,7,0,1
EMP-0364,IT,Medium,181,8,0,1
EMP-0365,Engineering,Critical,393,7,1,1
EMP-0366,Marketing,High,379,3,1,0
EMP-0367,HR,High,374,8,1,1
EMP-0368,HR,High,387,6,0,1
EMP-0369,HR,Medium,364,8,1,1
EMP-0370,Engineering,Medium,283,3,0,1
EMP-0371,Finance,Medium,347,11,0,0
EMP-0372,HR,Low,108,1,1,0
EMP-0373,Sales,Medium,387,11,1,1
EMP-0374,IT,Medium,56,0,0,0
EMP-0375,Finance,Critical,310,6,0,1
EMP-0376,IT,Critical,261,10,1,1
EMP-0377,HR,Low,231,5,1,1
EMP-0378,Finance,Critical,158,2,1,0
EMP-0379,IT,Medium,253,4,1,0
EMP-0380,Sales,High,66,1,1,0
EMP-0381,HR,Medium,156,3,0,0
EMP-0382,IT,Medium,96,1,1,0
EMP-0383,IT,Medium,358,8,1,1
EMP-0384,HR,Low,359,4,1,1
EMP-0385,HR,High,102,3,1,0
EMP-0386,IT,Medium,367,5,1,1
EMP-0387,Sales,Critical,363,8,1,1
EMP-0388,IT,High,233,9,1,1
EMP-0389,HR,High,57,1,0,1
EMP-0390,Sales,Medium,92,3,1,0
EMP-0391,Sales,Medium,94,4,0,0
EMP-0392,Engineering,Critical,302,8,1,1
EMP-0393,Sales,Low,58,0,1,0
EMP-0394,IT,Medium,62,0,0,0
EMP-0395,Sales,High,245,3,1,0
EMP-0396,Finance,Medium,143,2,1,0
EMP-0397,Sales,High,62,1,1,0
EMP-0398,Sales,High,261,5,1,1
EMP-0399,Marketing,Critical,159,4,1,0
EMP-0400,IT,Medium,31,0,1,0
EMP-0401,Marketing,High,236,5,1,1
EMP-0402,HR,Low,227,4,0,0
EMP-0403,Finance,Critical,201,6,0,1
EMP-0404,IT,High,249,10,0,1
EMP-0405,Finance,Critical,146,3,0,0
EMP-0406,Engineering,Medium,229,6,1,1
EMP-0407,Engineering,High,238,4,0,0
EMP-0408,Marketing,Medium,286,5,1,1
EMP-0409,Engineering,Low,173,3,1,0
EMP-0410,Marketing,Critical,379,10,1,1
EMP-0411,HR,Low,209,11,0,1
EMP-0412,IT,Low,223,4,1,1
EMP-0413,HR,Medium,198,4,1,0
EMP-0414,Finance,Medium,114,1,1,0
EMP-0415,IT,Low,224,4,1,0
EMP-0416,Marketing,High,209,12,0,1
EMP-0417,Engineering,Critical,30,1,1,0
EMP-0418,Sales,Low,89,0,1,0
EMP-0419,IT,High,336,12,0,1
EMP-0420,Finance,High,238,5,0,1
EMP-0421,Finance,Low,254,11,1,0
EMP-0422,HR,High,41,1,1,1
EMP-0423,HR,Low,58,1,0,1
EMP-0424,Engineering,Critical,60,1,1,0
EMP-0425,Finance,High,128,3,1,0
EMP-0426,Finance,Low,57,1,1,0
EMP-0427,IT,Medium,66,1,1,0
EMP-0428,Marketing,Low,284,12,0,1
EMP-0429,Marketing,Medium,162,4,1,0
EMP-0430,IT,Critical,213,9,0,1
EMP-0431,IT,Low,102,3,1,0
EMP-0432,Marketing,Medium,289,4,1,0
EMP-0433,IT,High,346,5,1,1
EMP-0434,IT,Medium,171,1,1,0
EMP-0435,HR,Low,55,0,1,0
EMP-0436,Marketing,Medium,300,7,1,1
EMP-0437,Engineering,Critical,147,4,0,1
EMP-0438,Finance,Low,81,0,0,0
EMP-0439,Finance,Critical,168,1,1,0
EMP-0440,Engineering,Medium,319,5,0,0
EMP-0441,Finance,Low,224,12,1,1
EMP-0442,HR,Critical,385,5,1,0
EMP-0443,HR,High,62,0,0,0
EMP-0444,Engineering,High,84,0,0,1
EMP-0445,Sales,High,171,1,1,0
EMP-0446,Finance,Low,126,3,1,0
EMP-0447,HR,Critical,250,9,1,1
EMP-0448,Sales,Medium,177,1,1,0
EMP-0449,Finance,Medium,318,3,1,1
EMP-0450,Engineering,Medium,224,12,1,1
EMP-0451,Marketing,Low,162,1,1,0
EMP-0452,Sales,Critical,351,4,1,0
EMP-0453,Marketing,Low,229,7,1,0
EMP-0454,IT,Critical,183,5,1,0
EMP-0455,HR,Critical,113,1,1,0
EMP-0456,Finance,Medium,54,1,1,0
EMP-0457,IT,Low,329,3,1,1
EMP-0458,Finance,High,363,3,1,1
EMP-0459,HR,High,49,0,1,0
EMP-0460,Sales,Medium,92,2,1,0
EMP-0461,HR,Medium,348,11,1,1
EMP-0462,HR,High,136,2,0,0
EMP-0463,Finance,Critical,394,7,1,1
EMP-0464,HR,Critical,188,10,0,0
EMP-0465,HR,Critical,314,10,1,1
EMP-0466,Engineering,High,334,12,1,1
EMP-0467,Marketing,High,112,4,1,0
EMP-0468,IT,Low,323,10,1,1
EMP-0469,Engineering,High,36,1,1,0
EMP-0470,Finance,Medium,147,1,1,0
EMP-0471,Marketing,Critical,214,12,1,0
EMP-0472,Engineering,Low,38,1,1,0
EMP-0473,Finance,Low,46,1,1,0
EMP-0474,IT,Critical,169,2,1,0
EMP-0475,Sales,Medium,349,10,0,1
EMP-0476,Sales,Critical,150,4,0,0
EMP-0477,HR,Critical,135,1,1,1
EMP-0478,HR,Critical,259,9,1,0
EMP-0479,Finance,Medium,220,3,1,0
EMP-0480,Sales,Critical,282,10,1,1
EMP-0481,Finance,Medium,155,4,1,0
EMP-0482,Finance,Low,128,4,1,0
EMP-0483,Marketing,Critical,58,1,1,0
EMP-0484,HR,Critical,358,6,1,1
EMP-0485,Finance,Low,369,6,1,1
EMP-0486,Finance,High,91,3,1,0
EMP-0487,Sales,Critical,152,2,1,0
EMP-0488,Engineering,Medium,75,1,1,0
EMP-0489,Sales,Critical,238,11,1,1
EMP-0490,Sales,Critical,87,0,0,0
EMP-0491,HR,Low,262,3,1,1
EMP-0492,HR,Low,222,7,1,1
EMP-0493,Engineering,High,258,3,1,0
EMP-0494,Sales,Low,216,12,1,1
EMP-0495,Marketing,Critical,372,7,1,1
EMP-0496,Finance,Low,250,9,1,1
EMP-0497,Engineering,Critical,180,12,1,0
EMP-0498,Engineering,High,214,3,1,0
EMP-0499,Marketing,Medium,377,12,0,0
EMP-0500,IT,High,291,11,0,1
EMP-0501,HR,Low,141,1,1,0
EMP-0502,Sales,Critical,316,8,1,1
EMP-0503,Sales,Low,34,0,0,0
EMP-0504,IT,High,144,4,1,0
EMP-0505,Marketing,Low,196,5,1,0
EMP-0506,Marketing,Low,69,0,1,0
EMP-0507,Finance,Medium,67,0,1,0
EMP-0508,Marketing,Medium,250,10,1,1
EMP-0509,Sales,Critical,330,7,1,1
EMP-0510,Finance,Low,135,1,1,0
EMP-0511,IT,Low,392,5,0,0
EMP-0512,HR,Medium,302,6,1,0
EMP-0513,IT,High,300,5,0,1
EMP-0514,Sales,Critical,185,11,1,1
EMP-0515,Sales,High,292,9,1,1
EMP-0516,Marketing,Low,272,4,1,1
EMP-0517,Finance,Low,58,0,1,0
EMP-0518,Finance,Critical,264,11,1,0
EMP-0519,Finance,Low,341,9,1,1
EMP-0520,IT,Low,113,3,1,0
EMP-0521,Marketing,Medium,175,3,0,0
EMP-0522,Sales,Low,198,6,0,0
EMP-0523,IT,Low,375,7,1,1
EMP-0524,Finance,Low,359,4,1,0
EMP-0525,HR,Critical,138,2,0,0
EMP-0526,Finance,High,294,4,0,1
EMP-0527,Finance,Medium,89,0,1,0
EMP-0528,Finance,High,293,9,1,1
EMP-0529,Sales,High,57,1,1,1
EMP-0530,IT,Medium,394,6,0,1
EMP-0531,Engineering,Low,233,10,1,0
EMP-0532,Sales,Critical,272,7,1,1
EMP-0533,Sales,High,283,11,1,0
EMP-0534,Marketing,High,218,8,1,1
EMP-0535,Engineering,High,356,8,1,1
EMP-0536,Finance,High,173,2,0,0
EMP-0537,HR,Low,37,1,1,0
EMP-0538,Marketing,Medium,170,3,1,0
EMP-0539,IT,Critical,37,0,1,0
EMP-0540,Finance,Critical,313,11,0,1
EMP-0541,Marketing,Medium,264,11,1,1
EMP-0542,Sales,Medium,239,9,1,1
EMP-0543,Marketing,High,209,11,1,1
EMP-0544,IT,Low,55,1,1,0
EMP-0545,IT,High,35,1,1,0
EMP-0546,Finance,Critical,250,7,1,1
EMP-0547,IT,Low,377,10,0,0
EMP-0548,Engineering,Critical,168,3,1,0
EMP-0549,Sales,High,87,0,0,0
EMP-0550,Finance,Medium,123,3,1,0
EMP-0551,Finance,Critical,363,12,1,1
EMP-0552,Sales,Low,67,1,0,0
EMP-0553,Marketing,High,397,7,1,1
EMP-0554,HR,Low,393,9,1,0
EMP-0555,Marketing,Medium,120,2,0,0
EMP-0556,HR,Low,62,1,1,0
EMP-0557,IT,Medium,82,0,1,0
EMP-0558,HR,Medium,236,5,1,1
EMP-0559,Finance,Low,326,8,1,0
EMP-0560,Engineering,Low,324,10,1,1
EMP-0561,Sales,High,354,9,1,1
EMP-0562,Finance,Critical,34,1,0,0
EMP-0563,Finance,High,231,11,0,1
EMP-0564,Finance,Low,310,4,1,1
EMP-0565,Sales,Critical,117,4,0,1
EMP-0566,HR,Medium,102,1,1,0
EMP-0567,IT,Medium,399,10,1,0
EMP-0568,Marketing,Medium,205,11,0,1
EMP-0569,Sales,Medium,351,12,1,1
EMP-0570,Sales,High,93,1,1,0
EMP-0571,Marketing,Critical,118,4,1,0
EMP-0572,Engineering,High,40,0,1,1
EMP-0573,Sales,High,306,6,0,1
EMP-0574,IT,Medium,283,8,1,1
EMP-0575,Engineering,Medium,214,8,1,1
EMP-0576,Marketing,Medium,88,1,1,0
EMP-0577,Finance,Medium,216,3,0,0
EMP-0578,IT,Critical,138,4,1,0
EMP-0579,HR,Critical,323,7,0,1
EMP-0580,Finance,High,241,7,0,1
EMP-0581,Sales,Critical,358,7,1,1
EMP-0582,Engineering,Low,165,4,1,0
EMP-0583,Finance,Medium,309,12,0,1
EMP-0584,Finance,Critical,166,3,0,1
EMP-0585,Marketing,High,293,8,1,1
EMP-0586,Finance,Medium,274,8,0,1
EMP-0587,Sales,Low,142,1,1,0
EMP-0588,Marketing,High,184,7,1,0
EMP-0589,HR,High,321,11,1,1
EMP-0590,Marketing,Critical,241,5,1,1
EMP-0591,Marketing,Critical,322,8,1,1
EMP-0592,HR,High,258,9,1,0
EMP-0593,IT,Critical,356,5,1,0
EMP-0594,IT,High,318,6,0,1
EMP-0595,Finance,Critical,148,1,0,1
EMP-0596,Marketing,Critical,300,10,1,1
EMP-0597,Engineering,Medium,59,1,1,0
EMP-0598,Sales,Medium,250,8,1,0
EMP-0599,Marketing,Low,358,7,0,1
EMP-0600,Sales,Medium,196,11,1,0
EMP-0601,HR,Medium,151,3,1,0
EMP-0602,Finance,Low,271,8,1,1
EMP-0603,IT,High,119,3,1,0
EMP-0604,IT,High,80,0,1,0
EMP-0605,Sales,Medium,265,12,1,1
EMP-0606,IT,Low,395,11,0,1
EMP-0607,Sales,Low,348,4,1,0
EMP-0608,Engineering,High,53,0,1,0
EMP-0609,HR,Medium,135,2,1,0
EMP-0610,IT,High,65,0,1,0
EMP-0611,Engineering,Medium,157,2,1,0
EMP-0612,HR,High,197,9,1,0
EMP-0613,HR,High,338,3,1,0
EMP-0614,Finance,High,88,0,0,0
EMP-0615,Sales,Critical,313,3,1,1
EMP-0616,Engineering,Low,89,0,1,0
EMP-0617,Marketing,High,199,4,0,0
EMP-0618,Engineering,High,282,11,1,1
EMP-0619,Sales,Critical,55,1,1,0
EMP-0620,Finance,High,70,1,1,0
EMP-0621,Engineering,Medium,144,2,1,0
EMP-0622,Finance,High,250,8,1,1
EMP-0623,Sales,Low,395,12,0,1
EMP-0624,Engineering,Critical,139,2,1,0
