employee_id,department,role,database_name,days_to_expiry,total_rotations,successful_rotations,failed_rotations,reminders_ignored,avg_response_hours,login_frequency_per_week,password_strength_score,uses_mfa,breach_risk_score,caused_breach
EMP-0022,Infrastructure,Engineer,CockroachDB,125,10,9,1,1,63,12,10,1,0,0
EMP-0023,Engineering,Tech Lead,Redis,146,15,9,6,2,26,1,9,0,0,0
EMP-0024,Infrastructure,Engineer,Oracle,95,5,4,1,2,32,19,8,1,0,0
EMP-0025,Operations,Intern,Oracle,63,3,2,1,0,67,37,2,1,0,0
EMP-0026,HR,Engineer,PostgreSQL,3,14,14,0,3,34,40,5,0,0,0
EMP-0027,Infrastructure,Manager,PostgreSQL,12,0,0,0,0,6,25,2,1,0,0
EMP-0028,Finance,Junior Developer,CockroachDB,15,13,9,4,1,91,28,10,1,0,0
EMP-0029,QA,Tech Lead,Oracle,119,2,1,1,2,27,21,10,1,0,0
EMP-0030,Data Science,Intern,MySQL,48,12,9,3,1,76,2,7,0,0,0
EMP-0031,Infrastructure,Senior Developer,PostgreSQL,-34,14,10,4,4,19,37,9,1,86.17,1
EMP-0032,Infrastructure,Engineer,PostgreSQL,141,0,0,0,0,41,35,4,0,0,0
EMP-0033,Operations,Developer,CockroachDB,-22,5,4,1,4,51,37,10,0,76.5,1
EMP-0034,Finance,Engineer,PostgreSQL,-35,15,15,0,8,25,11,6,1,55.17,0
EMP-0035,Engineering,Junior Developer,MySQL,30,4,3,1,0,152,17,2,1,0,0
EMP-0036,Finance,Developer,MongoDB,-28,6,6,0,6,62,30,2,0,100,1
EMP-0037,Data Science,Analyst,Oracle,18,8,5,3,1,48,22,3,0,2.0,0
EMP-0038,Operations,Junior Developer,Oracle,92,11,6,5,0,101,4,10,1,0,0
EMP-0039,Data Science,Manager,MariaDB,-35,6,4,2,7,9,17,9,1,100,1
EMP-0040,HR,Manager,MongoDB,6,2,1,1,3,5,3,5,1,0,0
EMP-0041,Security,Junior Developer,Oracle,55,2,2,0,1,74,33,3,1,0,0
EMP-0042,Operations,Junior Developer,Redis,112,5,3,2,1,35,26,6,0,0,0
EMP-0043,HR,Junior Developer,PostgreSQL,80,12,6,6,2,26,38,9,1,0,0
EMP-0044,Security,Developer,MySQL,79,7,7,0,1,62,33,7,1,0,0
EMP-0045,Finance,Senior Developer,Redis,-39,4,2,2,9,1,20,2,0,100,1
EMP-0046,Infrastructure,Tech Lead,Redis,0,2,2,0,2,21,36,7,0,0,0
EMP-0047,QA,Junior Developer,SQL Server,10,10,10,0,0,84,1,3,1,0,0
EMP-0048,Engineering,Tech Lead,MariaDB,26,3,2,1,2,9,19,10,0,0,0
EMP-0049,QA,Tech Lead,MySQL,104,11,11,0,2,9,6,9,0,0,0
EMP-0050,Engineering,Junior Developer,CockroachDB,20,0,0,0,0,146,7,3,1,0,0
EMP-0051,Infrastructure,Analyst,PostgreSQL,7,8,6,2,1,28,36,9,1,0,0
EMP-0052,Security,Engineer,PostgreSQL,123,3,3,0,0,47,1,6,0,0,0
EMP-0053,QA,Engineer,MySQL,96,10,8,2,1,53,18,3,1,0,0
EMP-0054,Infrastructure,Manager,CockroachDB,1,15,8,7,5,23,22,9,1,12.83,0
EMP-0055,Operations,Engineer,MongoDB,-27,0,0,0,6,69,16,8,0,100,1
EMP-0056,Engineering,Manager,Redis,119,14,12,2,1,22,27,4,1,0,0
EMP-0057,Security,Developer,MongoDB,20,13,11,2,0,42,13,3,1,0,0
EMP-0058,Engineering,Junior Developer,Oracle,11,14,8,6,1,138,13,10,1,0,0
EMP-0059,Data Science,Junior Developer,CockroachDB,135,8,7,1,0,137,38,6,0,0,0
EMP-0060,QA,Analyst,MongoDB,137,10,7,3,0,40,16,4,1,0,0
EMP-0061,HR,Senior Developer,MariaDB,30,1,1,0,0,27,33,10,1,0,0
EMP-0062,Operations,Developer,MariaDB,92,7,4,3,0,67,4,7,0,0,0
EMP-0063,QA,Developer,PostgreSQL,65,0,0,0,0,51,14,7,1,0,0
EMP-0064,Operations,Developer,MariaDB,81,3,3,0,2,66,3,6,0,0,0
EMP-0065,Engineering,Engineer,CockroachDB,109,4,2,2,0,47,6,4,1,0,0
EMP-0066,Infrastructure,Tech Lead,Redis,123,14,13,1,2,20,15,2,1,0,0
EMP-0067,Finance,Analyst,PostgreSQL,11,14,7,7,1,66,7,7,0,21.0,0
EMP-0068,Data Science,Junior Developer,Oracle,-8,14,10,4,12,168,5,10,1,83.0,1
EMP-0069,Security,Senior Developer,MySQL,101,6,4,2,2,25,6,5,1,0,0
EMP-0070,Operations,Engineer,PostgreSQL,144,13,12,1,0,72,34,8,1,0,0
EMP-0071,QA,Tech Lead,SQL Server,-38,3,2,1,10,1,2,10,1,100,1
EMP-0072,QA,Junior Developer,MySQL,132,0,0,0,1,70,12,9,1,0,0
EMP-0073,Infrastructure,Analyst,PostgreSQL,41,12,8,4,1,58,22,6,0,0,0
EMP-0074,Security,Intern,MongoDB,-5,10,8,2,7,99,37,9,1,5.5,0
EMP-0075,Engineering,Analyst,MySQL,114,2,1,1,2,34,16,8,1,0,0
EMP-0076,HR,Tech Lead,SQL Server,-15,15,13,2,3,17,20,6,1,0,0
EMP-0077,Infrastructure,Junior Developer,Redis,9,3,2,1,0,42,20,10,0,0,0
EMP-0078,Operations,Junior Developer,PostgreSQL,2,15,8,7,2,79,12,10,1,0,0
EMP-0079,Operations,Senior Developer,Redis,34,14,14,0,1,17,28,7,0,0,0
EMP-0080,Data Science,Junior Developer,MariaDB,29,7,7,0,0,108,6,3,1,0,0
EMP-0081,Infrastructure,Developer,Redis,140,10,5,5,0,48,36,10,1,0,0
EMP-0082,Security,Manager,CockroachDB,22,10,9,1,1,17,39,2,0,0,0
EMP-0083,Data Science,Tech Lead,CockroachDB,46,11,9,2,2,36,27,5,0,0,0
EMP-0084,Finance,Senior Developer,Oracle,51,14,12,2,0,15,11,2,0,0,0
EMP-0085,Engineering,Engineer,Redis,81,7,7,0,2,40,23,2,0,0,0
EMP-0086,Operations,Tech Lead,Redis,69,15,13,2,0,20,37,10,1,0,0
EMP-0087,QA,Manager,SQL Server,-17,10,7,3,4,31,34,3,1,56.17,0
EMP-0088,QA,Tech Lead,MySQL,22,3,3,0,0,13,20,7,0,0,0
EMP-0089,Finance,Intern,MySQL,95,13,7,6,2,157,34,5,1,17.17,0
EMP-0090,Engineering,Manager,SQL Server,84,4,3,1,1,2,18,8,0,0,0
EMP-0091,Security,Senior Developer,SQL Server,80,6,5,1,0,27,22,5,0,0,0
EMP-0092,Engineering,Manager,PostgreSQL,-1,12,12,0,10,32,19,6,0,0,0
EMP-0093,HR,Tech Lead,MySQL,40,7,5,2,1,20,37,10,1,0,0
EMP-0094,Infrastructure,Tech Lead,Redis,1,8,6,2,5,21,34,5,1,0,0
EMP-0095,Engineering,Intern,CockroachDB,-31,4,3,1,6,110,15,6,1,100,1
EMP-0096,Engineering,Analyst,MySQL,84,12,9,3,0,26,1,10,1,0,0
EMP-0097,Operations,Engineer,Redis,11,9,9,0,2,58,25,5,0,0,0
EMP-0098,Finance,Intern,MySQL,124,9,5,4,1,112,21,4,0,20.67,0
EMP-0099,QA,Manager,SQL Server,96,14,10,4,0,34,19,3,0,0,0
EMP-0100,Data Science,Tech Lead,Oracle,-37,12,6,6,9,34,33,10,1,100,1
EMP-0101,HR,Engineer,CockroachDB,40,7,6,1,0,14,28,5,0,0,0
EMP-0102,Security,Engineer,PostgreSQL,133,11,10,1,1,31,36,10,0,0,0
EMP-0103,Data Science,Junior Developer,SQL Server,10,13,10,3,2,134,16,10,1,0,0
EMP-0104,Operations,Manager,PostgreSQL,111,2,2,0,2,11,29,3,1,0,0
EMP-0105,Infrastructure,Manager,MySQL,8,9,5,4,2,36,39,9,1,0,0
EMP-0106,Data Science,Analyst,Redis,134,1,1,0,0,35,4,5,1,0,0
EMP-0107,Security,Manager,Redis,108,13,13,0,2,16,18,3,1,0,0
EMP-0108,QA,Developer,Oracle,111,8,5,3,1,65,6,6,1,0,0
EMP-0109,Operations,Intern,MySQL,100,3,3,0,0,104,34,8,1,0,0
EMP-0110,Data Science,Developer,MongoDB,107,11,10,1,0,44,5,2,1,0,0
EMP-0111,Engineering,Intern,SQL Server,54,1,1,0,2,61,13,3,1,0,0
EMP-0112,HR,Manager,PostgreSQL,96,4,3,1,1,32,11,4,1,0,0
EMP-0113,HR,Engineer,CockroachDB,-12,4,2,2,9,17,13,7,0,100,1
EMP-0114,Security,Developer,MySQL,19,15,15,0,2,12,3,7,1,0,0
EMP-0115,HR,Tech Lead,PostgreSQL,4,13,7,6,2,21,13,10,0,0,0
EMP-0116,Data Science,Developer,PostgreSQL,17,1,1,0,0,50,3,9,0,0,0
EMP-0117,Finance,Engineer,MySQL,147,6,3,3,1,30,20,4,1,0,0
EMP-0118,Security,Junior Developer,CockroachDB,76,14,14,0,2,167,16,2,0,0,0
EMP-0119,HR,Analyst,CockroachDB,147,6,3,3,0,28,14,9,1,0,0
EMP-0120,Engineering,Intern,MariaDB,6,8,8,0,1,67,23,5,1,0,0
EMP-0121,HR,Analyst,SQL Server,84,12,8,4,1,41,3,3,1,0,0
EMP-0122,Engineering,Analyst,SQL Server,61,15,10,5,1,37,13,5,1,0,0
EMP-0123,Security,Intern,MySQL,-29,3,3,0,11,152,5,6,1,100,1
EMP-0124,Data Science,Engineer,Oracle,74,4,2,2,0,49,40,10,0,0,0
EMP-0125,Infrastructure,Junior Developer,MongoDB,23,3,2,1,2,72,36,7,1,0,0
EMP-0126,HR,Manager,Oracle,22,2,1,1,1,25,28,6,0,0,0
EMP-0127,Finance,Engineer,MariaDB,-14,3,2,1,4,27,13,8,0,64.5,1
EMP-0128,HR,Tech Lead,MySQL,123,6,3,3,0,16,12,10,1,0,0
EMP-0129,Engineering,Tech Lead,MariaDB,113,14,12,2,0,11,16,3,1,0,0
EMP-0130,Operations,Intern,MariaDB,38,10,8,2,0,108,35,8,1,0,0
EMP-0131,Finance,Engineer,MongoDB,-24,14,12,2,6,43,16,6,1,42.17,0
EMP-0132,Security,Developer,MySQL,106,13,8,5,0,50,36,8,1,0,0
EMP-0133,Engineering,Senior Developer,MongoDB,72,9,8,1,1,22,18,9,1,0,0
EMP-0134,Engineering,Engineer,CockroachDB,23,2,1,1,1,22,1,2,0,9.67,1
EMP-0135,QA,Analyst,Redis,49,8,5,3,0,21,18,8,0,0,0
EMP-0136,QA,Engineer,SQL Server,76,5,3,2,2,53,36,2,0,20.83,0
EMP-0137,Security,Senior Developer,MySQL,75,6,4,2,2,34,19,2,0,9.67,0
EMP-0138,Engineering,Analyst,MySQL,54,12,7,5,2,47,38,2,1,0,0
EMP-0139,Infrastructure,Tech Lead,MariaDB,122,15,15,0,2,17,7,4,0,0,0
EMP-0140,Data Science,Intern,MySQL,-19,7,6,1,9,147,31,10,1,89.5,1
EMP-0141,HR,Analyst,Oracle,28,8,5,3,2,33,23,9,1,0,0
EMP-0142,Engineering,Analyst,MariaDB,-21,7,5,2,6,40,6,3,1,97.67,1
EMP-0143,Security,Developer,CockroachDB,133,1,1,0,1,22,33,5,1,0,0
EMP-0144,Operations,Tech Lead,SQL Server,93,15,11,4,1,11,13,2,1,0,0
EMP-0145,Finance,Manager,CockroachDB,-27,11,6,5,5,34,39,5,0,100,1
EMP-0146,Engineering,Senior Developer,CockroachDB,-32,12,6,6,3,25,20,8,1,100,1
EMP-0147,Finance,Analyst,Redis,43,1,1,0,0,65,22,2,1,0,0
EMP-0148,Infrastructure,Intern,MySQL,111,12,10,2,0,152,2,9,0,0,0
EMP-0149,Infrastructure,Manager,MariaDB,-9,3,2,1,7,6,19,2,1,70.0,1
EMP-0150,QA,Manager,CockroachDB,28,12,11,1,0,15,28,3,1,0,0
EMP-0151,Operations,Senior Developer,MySQL,52,2,2,0,0,13,26,3,1,0,0
EMP-0152,Security,Intern,MongoDB,107,1,1,0,1,36,11,2,1,0,0
EMP-0153,Operations,Intern,CockroachDB,-13,3,2,1,3,61,36,3,0,76.17,1
EMP-0154,HR,Intern,Oracle,-22,9,6,3,3,121,32,5,1,81.17,1
EMP-0155,Security,Intern,Redis,48,11,10,1,2,47,6,8,1,0,0
EMP-0156,Security,Intern,Redis,107,14,13,1,1,81,8,7,1,0,0
EMP-0157,Data Science,Developer,MySQL,89,2,1,1,2,62,13,6,1,0,0
EMP-0158,HR,Intern,SQL Server,67,12,12,0,0,88,38,8,0,0,0
EMP-0159,Infrastructure,Tech Lead,SQL Server,-9,5,3,2,5,21,17,5,0,69.5,1
EMP-0160,Engineering,Engineer,CockroachDB,42,5,5,0,2,60,2,4,1,0,0
EMP-0161,Engineering,Analyst,Oracle,49,10,7,3,1,20,34,7,0,0,0
EMP-0162,Data Science,Manager,CockroachDB,135,4,4,0,1,11,34,8,1,0,0
EMP-0163,Data Science,Intern,MariaDB,82,7,5,2,1,34,16,2,1,0,0
EMP-0164,QA,Engineer,CockroachDB,53,5,4,1,0,54,24,9,1,0,0
EMP-0165,Data Science,Engineer,Oracle,137,13,11,2,0,20,17,4,0,0,1
EMP-0166,Engineering,Manager,Oracle,126,1,1,0,0,15,7,6,1,0,0
EMP-0167,Engineering,Manager,Redis,52,11,8,3,2,27,10,8,1,0,0
EMP-0168,Operations,Engineer,MongoDB,89,4,2,2,2,24,10,10,0,0,0
EMP-0169,Security,Developer,SQL Server,62,4,2,2,1,44,28,3,0,13.33,1
EMP-0170,Infrastructure,Tech Lead,Oracle,149,3,3,0,0,1,2,7,0,0,0
EMP-0171,Finance,Analyst,SQL Server,-11,9,7,2,3,69,25,5,0,33.5,0
EMP-0172,QA,Engineer,MongoDB,47,12,6,6,2,32,10,6,1,0.33,0
EMP-0173,Data Science,Manager,Redis,-38,14,10,4,9,11,7,4,1,100,1
EMP-0174,Data Science,Tech Lead,MongoDB,-39,10,9,1,7,2,8,7,1,100,1
EMP-0175,Finance,Manager,SQL Server,19,11,7,4,2,32,5,5,1,0,0
EMP-0176,Infrastructure,Engineer,Redis,-32,3,2,1,9,18,9,8,0,100,1
EMP-0177,Finance,Intern,Oracle,140,0,0,0,0,123,7,8,0,0,0
EMP-0178,Operations,Analyst,MySQL,107,2,1,1,1,57,28,7,0,0,0
EMP-0179,QA,Intern,MariaDB,147,1,1,0,2,167,11,9,1,0,0
EMP-0180,Operations,Junior Developer,SQL Server,13,3,3,0,0,99,30,2,1,0,0
EMP-0181,Engineering,Intern,Redis,119,5,3,2,1,165,8,9,0,1.5,0
EMP-0182,Finance,Tech Lead,MongoDB,136,14,10,4,2,30,38,4,1,0,1
EMP-0183,Infrastructure,Developer,Oracle,145,15,10,5,2,42,33,9,1,0,0
EMP-0184,Security,Tech Lead,PostgreSQL,93,3,3,0,2,24,7,4,1,0,0
EMP-0185,QA,Engineer,CockroachDB,84,1,1,0,1,18,37,3,1,0,0
EMP-0186,Data Science,Engineer,MariaDB,16,6,5,1,0,69,8,9,0,0,0
EMP-0187,HR,Junior Developer,PostgreSQL,-10,7,7,0,7,142,4,8,1,20.67,0
EMP-0188,Finance,Analyst,MySQL,81,7,6,1,1,61,15,9,1,0,0
EMP-0189,Operations,Developer,CockroachDB,35,14,11,3,2,59,24,8,1,0,0
EMP-0190,Engineering,Senior Developer,PostgreSQL,10,10,8,2,2,27,36,9,0,0,0
EMP-0191,HR,Developer,MySQL,112,15,12,3,2,23,21,8,1,0,0
EMP-0192,HR,Developer,MongoDB,13,14,9,5,2,57,10,7,1,0,0
EMP-0193,Security,Junior Developer,Oracle,111,7,5,2,1,31,40,3,1,0,0
EMP-0194,Engineering,Intern,PostgreSQL,97,15,12,3,1,135,19,7,1,0,0
EMP-0195,Engineering,Tech Lead,Redis,-23,4,3,1,9,21,32,2,0,100,1
EMP-0196,Engineering,Manager,PostgreSQL,134,9,8,1,2,11,39,8,1,0,0
EMP-0197,HR,Senior Developer,Oracle,63,11,6,5,1,22,27,7,1,0,0
EMP-0198,Finance,Analyst,PostgreSQL,112,6,5,1,1,28,32,2,1,0,0
EMP-0199,Operations,Intern,SQL Server,31,7,7,0,0,28,1,6,0,0,0
EMP-0200,Data Science,Junior Developer,MySQL,-40,5,3,2,12,150,7,5,0,100,1
EMP-0201,Operations,Senior Developer,Oracle,149,1,1,0,0,10,26,10,1,0,0
EMP-0202,Finance,Tech Lead,CockroachDB,43,15,15,0,2,5,8,3,0,0,0
EMP-0203,Security,Engineer,SQL Server,50,8,8,0,1,71,23,5,1,0,0
EMP-0204,Operations,Engineer,Oracle,-6,5,3,2,3,69,11,9,1,4.5,0
EMP-0205,Infrastructure,Intern,Redis,66,15,9,6,0,161,33,3,1,0,0
EMP-0206,Finance,Engineer,MariaDB,12,10,9,1,0,23,32,4,1,0,0
EMP-0207,HR,Developer,Oracle,1,12,9,3,2,62,38,3,1,0,0
EMP-0208,Finance,Engineer,MariaDB,-11,9,7,2,5,23,5,5,1,20.83,0
EMP-0209,Security,Junior Developer,PostgreSQL,85,14,12,2,0,122,32,10,1,0,0
EMP-0210,Infrastructure,Intern,MySQL,10,0,0,0,1,94,5,4,0,9.67,0
EMP-0211,QA,Senior Developer,MongoDB,18,12,12,0,1,24,17,2,1,0,0
EMP-0212,HR,Analyst,PostgreSQL,133,3,2,1,2,43,40,3,0,11.17,0
EMP-0213,Infrastructure,Intern,CockroachDB,116,1,1,0,2,143,22,9,1,0,0
EMP-0214,HR,Intern,CockroachDB,64,14,11,3,2,33,7,6,1,0,0
EMP-0215,Finance,Tech Lead,MongoDB,77,6,6,0,2,2,35,2,1,0,0
EMP-0216,Operations,Developer,SQL Server,9,5,4,1,0,35,13,4,0,0,0
EMP-0217,Data Science,Analyst,CockroachDB,-3,15,15,0,3,60,40,5,1,0,0
EMP-0218,HR,Tech Lead,Redis,121,6,3,3,2,18,27,7,0,7.0,0
EMP-0219,Infrastructure,Intern,MySQL,135,9,6,3,1,168,23,3,1,0,0
EMP-0220,Operations,Manager,Oracle,-32,13,12,1,7,32,6,10,0,79.33,1
EMP-0221,HR,Manager,Redis,94,7,6,1,0,23,13,7,1,0,0
EMP-0222,Engineering,Junior Developer,PostgreSQL,126,4,3,1,1,51,21,6,1,0,0
EMP-0223,Finance,Junior Developer,PostgreSQL,65,3,2,1,1,60,39,2,1,0,0
EMP-0224,Finance,Intern,CockroachDB,-8,13,11,2,7,162,39,6,1,16.0,0
EMP-0225,Data Science,Junior Developer,Redis,107,11,9,2,2,52,37,5,1,0,0
EMP-0226,HR,Intern,Redis,67,0,0,0,0,139,27,8,1,0,0
EMP-0227,HR,Analyst,Oracle,110,6,5,1,2,16,4,6,1,0,0
EMP-0228,Data Science,Junior Developer,Redis,134,8,7,1,0,35,13,7,1,0,0
EMP-0229,QA,Tech Lead,CockroachDB,-19,12,10,2,11,31,28,2,1,100,1
EMP-0230,Data Science,Developer,MariaDB,30,1,1,0,1,64,12,8,1,0,0
EMP-0231,Security,Intern,PostgreSQL,141,11,8,3,0,106,21,5,0,0,0
EMP-0232,Data Science,Developer,PostgreSQL,55,15,14,1,0,30,18,3,1,0,0
EMP-0233,HR,Developer,Oracle,59,0,0,0,1,63,17,10,1,0,0
EMP-0234,Infrastructure,Junior Developer,MongoDB,12,14,14,0,2,96,3,7,1,0,0
EMP-0235,QA,Analyst,Redis,80,9,8,1,1,15,34,6,1,0,0
EMP-0236,QA,Senior Developer,SQL Server,-17,10,8,2,9,10,10,9,0,83.67,1
EMP-0237,HR,Tech Lead,Oracle,14,13,8,5,1,24,36,5,1,0,0
EMP-0238,Infrastructure,Developer,SQL Server,98,2,1,1,1,57,27,7,0,0,0
EMP-0239,HR,Analyst,SQL Server,59,15,10,5,1,50,22,5,1,0,0
EMP-0240,Engineering,Senior Developer,Redis,143,15,13,2,0,29,13,9,0,0,0
EMP-0241,QA,Analyst,CockroachDB,6,6,4,2,4,41,19,9,0,2.83,0
EMP-0242,Operations,Developer,SQL Server,67,3,2,1,0,42,33,9,0,0,0
EMP-0243,Operations,Junior Developer,MongoDB,-17,10,5,5,11,155,39,4,0,100,1
EMP-0244,Data Science,Analyst,SQL Server,89,5,5,0,1,40,8,5,1,0,0
EMP-0245,Finance,Tech Lead,CockroachDB,-25,3,2,1,8,2,22,2,0,100,1
EMP-0246,Security,Junior Developer,PostgreSQL,6,11,8,3,2,109,8,3,0,0,0
EMP-0247,Data Science,Senior Developer,CockroachDB,89,1,1,0,0,32,33,4,0,0,0
EMP-0248,Engineering,Junior Developer,PostgreSQL,133,14,13,1,1,91,32,6,1,0,0
EMP-0249,Engineering,Developer,Oracle,-2,7,7,0,4,64,2,9,1,0,0
EMP-0250,Finance,Manager,CockroachDB,35,9,7,2,2,31,24,7,0,0,0
EMP-0251,HR,Developer,Redis,-18,8,5,3,8,53,23,10,1,91.83,1
EMP-0252,QA,Senior Developer,PostgreSQL,128,12,9,3,2,11,13,8,1,0,0
EMP-0253,HR,Engineer,MySQL,70,6,3,3,1,64,12,4,1,0,0
EMP-0254,QA,Engineer,MongoDB,-12,7,4,3,12,40,15,7,1,100,1
EMP-0255,Engineering,Junior Developer,Oracle,5,13,12,1,5,72,24,6,1,0,1
EMP-0256,Data Science,Tech Lead,SQL Server,24,5,4,1,2,22,8,8,0,0,0
EMP-0257,Engineering,Manager,MySQL,74,7,5,2,2,13,12,10,1,0,0
EMP-0258,HR,Junior Developer,CockroachDB,-30,2,1,1,7,165,28,8,1,100,1
EMP-0259,QA,Manager,MariaDB,45,4,4,0,1,30,5,10,1,0,0
EMP-0260,Finance,Junior Developer,MySQL,-13,1,1,0,3,60,37,10,1,19.0,0
EMP-0261,Operations,Analyst,PostgreSQL,150,15,9,6,2,54,23,7,0,1.0,0
EMP-0262,Finance,Junior Developer,MariaDB,-30,1,1,0,6,88,36,5,0,100,1
EMP-0263,Operations,Analyst,MariaDB,60,13,11,2,1,34,1,10,0,0,0
EMP-0264,Infrastructure,Manager,MongoDB,-29,14,7,7,4,35,34,8,1,100,1
EMP-0265,HR,Senior Developer,PostgreSQL,8,6,5,1,2,30,30,9,1,0,0
EMP-0266,Finance,Senior Developer,SQL Server,103,1,1,0,0,15,24,5,0,0,0
EMP-0267,Data Science,Developer,MariaDB,144,12,8,4,0,35,34,2,0,0,0
EMP-0268,Infrastructure,Developer,Redis,130,7,7,0,1,29,16,10,0,0,0
EMP-0269,Finance,Junior Developer,Oracle,-38,5,5,0,6,164,8,8,1,100,1
EMP-0270,QA,Developer,Oracle,82,15,9,6,1,19,16,3,0,1.17,0
EMP-0271,Infrastructure,Developer,MySQL,4,10,9,1,1,31,31,6,1,0,0
EMP-0272,Operations,Manager,CockroachDB,-10,0,0,0,9,2,2,4,0,100,1
EMP-0273,Operations,Manager,PostgreSQL,-37,6,3,3,3,21,27,3,1,100,1
EMP-0274,Finance,Engineer,PostgreSQL,9,2,2,0,0,20,3,10,1,0,0
EMP-0275,Security,Manager,MySQL,14,7,5,2,2,17,16,7,1,0,0
EMP-0276,Infrastructure,Junior Developer,CockroachDB,117,2,1,1,1,76,6,4,0,10.67,0
EMP-0277,Finance,Tech Lead,MongoDB,124,10,6,4,0,35,38,8,1,0,0
EMP-0278,HR,Analyst,MongoDB,143,2,1,1,1,15,14,4,1,0,0
EMP-0279,Data Science,Intern,MySQL,103,10,6,4,1,45,31,2,1,0,0
EMP-0280,Engineering,Senior Developer,SQL Server,-31,4,4,0,12,5,22,2,1,100,1
EMP-0281,Data Science,Junior Developer,PostgreSQL,10,9,7,2,2,112,30,2,1,0,0
EMP-0282,Infrastructure,Analyst,Oracle,46,6,5,1,2,27,4,8,0,0,0
EMP-0283,Finance,Tech Lead,MongoDB,92,6,5,1,0,31,3,10,0,0,0
EMP-0284,Engineering,Analyst,MongoDB,-15,15,10,5,7,37,3,2,1,83.17,1
EMP-0285,Operations,Engineer,MariaDB,49,9,8,1,0,58,2,9,0,0,1
EMP-0286,Data Science,Engineer,MySQL,19,7,7,0,1,60,20,8,1,0,0
EMP-0287,Finance,Developer,MongoDB,25,3,3,0,2,35,32,5,0,0,0
EMP-0288,Security,Developer,MongoDB,132,12,9,3,2,30,18,9,0,0,0
EMP-0289,Data Science,Junior Developer,MariaDB,74,3,3,0,2,47,3,8,1,0,0
EMP-0290,Data Science,Tech Lead,SQL Server,148,12,10,2,2,8,15,8,1,0,0
EMP-0291,Finance,Developer,MySQL,60,6,6,0,1,20,25,10,0,0,0
EMP-0292,Infrastructure,Tech Lead,SQL Server,74,5,5,0,2,16,16,3,1,0,0
EMP-0293,Data Science,Junior Developer,MySQL,64,8,5,3,0,117,24,6,1,0,0
EMP-0294,Operations,Junior Developer,MariaDB,2,7,6,1,3,26,24,9,1,0,0
EMP-0295,Engineering,Junior Developer,Oracle,29,13,8,5,2,167,28,6,1,0,0
EMP-0296,Operations,Engineer,CockroachDB,-7,10,8,2,6,28,37,7,1,0,0
EMP-0297,Engineering,Manager,SQL Server,28,14,9,5,2,31,13,10,0,0,0
EMP-0298,Finance,Senior Developer,MongoDB,50,3,2,1,0,35,35,4,0,0,0
EMP-0299,Infrastructure,Intern,MariaDB,111,11,6,5,2,83,3,5,0,25.83,0
EMP-0300,Security,Junior Developer,PostgreSQL,113,14,8,6,2,26,25,2,1,0,0
EMP-0301,HR,Junior Developer,PostgreSQL,-3,11,10,1,8,72,7,4,0,20.0,0
EMP-0302,Finance,Analyst,Redis,47,2,2,0,0,61,20,5,0,0,0
EMP-0303,Infrastructure,Intern,MongoDB,112,5,4,1,0,38,26,2,1,0,0
EMP-0304,Finance,Engineer,MongoDB,38,7,4,3,2,32,12,10,1,0,0
EMP-0305,QA,Senior Developer,Redis,89,15,10,5,0,26,19,4,1,0,0
EMP-0306,Finance,Developer,MongoDB,146,5,4,1,2,32,30,7,1,0,0
