employee_id,department,role,database_name,days_to_expiry,total_rotations,successful_rotations,failed_rotations,reminders_ignored,avg_response_hours,login_frequency_per_week,password_strength_score,uses_mfa,is_privileged,is_production,breach_risk_score,caused_breach
EMP-00026,Analytics,Security Engineer,Oracle,9,6,3,2,2,43,48,9,0,1,1,22.74,0
EMP-00027,Compliance,Security Engineer,PostgreSQL,23,0,0,0,0,84,4,8,0,1,0,0.0,0
EMP-00028,Data Science,Security Engineer,MySQL,164,14,12,0,1,26,21,10,0,1,0,0.0,0
EMP-00029,Security,SRE,MySQL,159,10,9,1,3,9,26,3,0,1,0,0.0,0
EMP-00030,Finance,Security Engineer,SQL Server,-33,3,3,0,3,37,10,2,1,1,0,91.77,1
EMP-00031,Infrastructure,Manager,MariaDB,114,13,8,4,2,120,13,5,1,0,1,1.96,0
EMP-00032,Operations,Developer,PostgreSQL,42,16,10,4,7,48,33,8,1,0,0,7.6,0
EMP-00033,DevOps,Analyst,SQL Server,5,8,1,5,1,60,1,5,1,0,0,55.91,1
EMP-00034,Finance,Analyst,PostgreSQL,-39,12,12,0,0,77,9,7,1,0,1,0.0,0
EMP-00035,Analytics,Manager,MySQL,-11,0,0,0,7,61,37,9,1,0,0,95.4,1
EMP-00036,Operations,SRE,PostgreSQL,19,10,5,3,4,3,22,5,1,1,1,20.84,0
EMP-00037,Operations,Security Engineer,MySQL,37,11,7,4,2,108,20,10,1,1,1,0.0,0
EMP-00038,Finance,Analyst,PostgreSQL,73,19,14,4,6,22,32,3,1,0,1,0.0,0
EMP-00039,Analytics,Platform Engineer,PostgreSQL,41,6,3,1,0,19,44,6,1,0,1,0.0,0
EMP-00040,Analytics,SRE,PostgreSQL,1,10,10,0,4,3,14,8,0,1,0,0.0,0
EMP-00041,Engineering,Manager,Oracle,95,12,5,5,6,98,7,9,1,0,0,50.36,0
EMP-00042,Infrastructure,SRE,PostgreSQL,27,11,8,1,4,2,17,7,1,1,1,0.0,0
EMP-00043,Analytics,Senior DBA,MySQL,95,12,10,2,1,35,16,6,1,1,0,0.0,0
EMP-00044,Engineering,Platform Engineer,PostgreSQL,0,6,2,4,1,115,3,8,1,0,1,47.28,0
EMP-00045,DevOps,Platform Engineer,MySQL,11,12,10,2,2,37,14,5,1,0,1,0.0,0
EMP-00046,Infrastructure,DBA,PostgreSQL,78,1,1,0,1,15,46,6,1,1,0,0.0,0
EMP-00047,Platform,DBA,SQL Server,107,10,8,2,0,21,38,3,0,1,0,0.0,0
EMP-00048,Compliance,Developer,PostgreSQL,90,1,0,0,4,107,1,6,1,0,0,11.97,0
EMP-00049,Analytics,SRE,MariaDB,106,12,6,6,2,28,18,2,1,1,0,34.38,0
EMP-00050,DevOps,DBA,MySQL,5,6,1,4,4,24,26,9,1,1,1,64.0,1
EMP-00051,Operations,SRE,Oracle,79,2,0,2,0,24,27,3,1,1,1,12.65,0
EMP-00052,Infrastructure,Senior DBA,PostgreSQL,131,13,8,4,4,8,8,9,1,1,0,0.0,0
EMP-00053,Data Science,Analyst,PostgreSQL,-44,2,0,0,7,92,39,7,1,0,0,100.0,1
EMP-00054,Engineering,Senior DBA,PostgreSQL,-22,0,0,0,2,7,44,6,0,1,1,96.92,1
EMP-00055,Data Science,Security Engineer,Oracle,24,7,4,3,0,109,11,6,0,1,0,18.28,0
EMP-00056,Analytics,Developer,MySQL,16,8,4,2,7,81,46,8,1,0,1,36.81,0
EMP-00057,Security,Analyst,MariaDB,70,0,0,0,0,96,34,7,1,0,1,0.0,0
EMP-00058,Infrastructure,Developer,MySQL,100,20,18,2,8,44,26,6,1,0,1,0.0,0
EMP-00059,Engineering,DBA,MySQL,64,6,3,1,2,26,32,4,1,1,0,0.0,0
EMP-00060,Compliance,Developer,Oracle,103,4,2,2,3,89,14,3,0,0,1,52.3,1
EMP-00061,Analytics,Security Engineer,MySQL,18,8,6,1,0,99,10,9,0,1,1,0.0,0
EMP-00062,Security,Analyst,MySQL,2,13,7,4,5,88,23,10,0,0,0,56.83,1
EMP-00063,Finance,SRE,MySQL,63,4,4,0,0,26,46,6,0,1,0,0.0,0
EMP-00064,Operations,Tech Lead,MySQL,88,12,7,5,4,29,17,3,0,1,0,50.73,0
EMP-00065,Data Science,DBA,Oracle,156,14,8,4,0,13,30,10,1,1,0,0.0,0
EMP-00066,DevOps,Senior DBA,MySQL,-40,2,1,1,1,32,34,10,1,1,1,69.67,1
EMP-00067,Operations,Senior DBA,MySQL,2,18,13,5,3,14,28,4,0,1,0,32.04,0
EMP-00068,Operations,Manager,Oracle,-18,4,3,1,7,40,21,6,0,0,0,100.0,1
EMP-00069,Platform,Senior DBA,MySQL,168,12,11,0,4,14,37,9,0,1,1,0.0,0
EMP-00070,Operations,Analyst,MySQL,130,3,2,1,5,26,29,10,0,0,1,18.79,1
EMP-00071,Analytics,Manager,MySQL,-7,12,10,1,3,115,23,2,0,0,1,54.77,0
EMP-00072,Security,Analyst,PostgreSQL,4,15,12,3,3,36,37,8,1,0,1,0.0,0
EMP-00073,Engineering,Tech Lead,MySQL,13,17,15,2,1,29,31,5,1,1,1,0.0,0
EMP-00074,Compliance,Security Engineer,Oracle,27,12,5,5,1,65,7,4,0,1,1,54.6,0
EMP-00075,Finance,Senior DBA,PostgreSQL,23,8,3,5,0,35,2,9,1,1,1,10.07,0
EMP-00076,Security,Platform Engineer,PostgreSQL,8,4,2,1,1,116,43,3,1,0,1,11.8,0
EMP-00077,DevOps,Manager,Oracle,30,6,5,1,4,95,47,4,1,0,0,3.28,0
EMP-00078,Compliance,Security Engineer,MySQL,180,11,7,4,4,117,13,8,0,1,1,41.06,0
EMP-00079,Analytics,SRE,Oracle,57,18,14,3,3,5,32,2,1,1,0,0.0,0
EMP-00080,Platform,Platform Engineer,MongoDB,127,20,17,1,0,74,43,6,1,0,1,0.0,0
EMP-00081,Finance,Tech Lead,MariaDB,104,20,16,2,4,19,20,5,0,1,0,0.0,0
EMP-00082,Operations,Security Engineer,SQL Server,-31,18,13,3,0,37,31,4,1,1,0,27.72,0
EMP-00083,Engineering,Tech Lead,PostgreSQL,6,17,11,4,2,30,11,8,0,1,1,7.96,0
EMP-00084,Security,Senior Developer,Oracle,154,0,0,0,4,71,35,9,0,0,1,23.98,0
EMP-00085,Compliance,Developer,Oracle,180,12,5,6,0,109,22,2,0,0,0,51.63,0
EMP-00086,Data Science,DBA,Oracle,-17,18,18,0,4,12,41,6,1,1,1,0.0,0
EMP-00087,Operations,Senior Developer,Oracle,121,6,1,3,3,84,21,2,1,0,1,54.34,0
EMP-00088,Infrastructure,Manager,MySQL,31,2,0,2,0,16,50,2,1,0,0,0.0,0
EMP-00089,Platform,Analyst,MySQL,3,16,13,2,6,23,43,10,1,0,1,0.0,0
EMP-00090,Infrastructure,Security Engineer,Oracle,125,18,15,2,0,27,9,9,1,1,1,0.0,0
EMP-00091,DevOps,Tech Lead,PostgreSQL,0,14,10,3,5,36,14,8,0,1,0,33.49,0
EMP-00092,Analytics,Senior DBA,Oracle,-20,16,11,3,1,36,46,5,1,1,1,57.21,1
EMP-00093,Infrastructure,Developer,MongoDB,-11,0,0,0,6,54,26,10,1,0,0,73.69,1
EMP-00094,Analytics,Senior Developer,PostgreSQL,-7,6,4,2,4,34,12,8,1,0,1,56.96,1
EMP-00095,Infrastructure,SRE,Oracle,-10,6,3,3,3,34,10,4,0,1,1,100.0,1
EMP-00096,Security,Platform Engineer,Oracle,158,10,7,1,3,29,7,9,0,0,0,0.0,0
EMP-00097,DevOps,Security Engineer,MariaDB,42,12,12,0,2,102,8,10,0,1,1,0.0,0
EMP-00098,Platform,Senior Developer,Oracle,169,12,5,5,0,117,13,2,0,0,1,47.22,0
EMP-00099,DevOps,Security Engineer,MySQL,-23,14,10,2,4,89,39,8,1,1,1,68.98,1
EMP-00100,Security,Manager,Oracle,-30,14,12,1,7,17,50,9,1,0,1,58.63,1
EMP-00101,Finance,Senior Developer,MySQL,12,15,14,1,6,17,46,3,1,0,0,0.0,0
EMP-00102,Infrastructure,Senior DBA,MySQL,16,19,15,4,3,31,25,9,1,1,1,0.0,0
EMP-00103,Operations,Developer,Oracle,170,9,6,2,7,60,24,3,1,0,0,33.64,0
EMP-00104,Security,Platform Engineer,MySQL,154,18,16,1,0,88,12,4,1,0,0,0.0,0
EMP-00105,Analytics,Analyst,MySQL,99,18,16,1,2,42,46,4,0,0,0,0.0,0
EMP-00106,Engineering,DBA,SQL Server,80,4,3,0,3,27,41,7,1,1,1,0.0,0
EMP-00107,Data Science,Developer,PostgreSQL,-36,20,15,5,8,47,23,7,1,0,0,86.79,1
EMP-00108,Operations,SRE,MySQL,14,15,8,6,3,15,48,2,1,1,0,34.19,0
EMP-00109,Infrastructure,Tech Lead,MongoDB,114,7,7,0,7,11,28,8,0,1,1,7.74,0
EMP-00110,Infrastructure,Security Engineer,PostgreSQL,13,7,7,0,4,8,39,9,1,1,1,0.0,0
EMP-00111,Finance,Security Engineer,Oracle,3,5,2,2,0,75,44,10,1,1,0,9.13,0
EMP-00112,Data Science,Platform Engineer,PostgreSQL,-22,15,10,4,1,106,25,10,1,0,1,48.89,0
EMP-00113,DevOps,Senior Developer,PostgreSQL,6,19,12,5,1,78,49,4,1,0,0,0.0,0
EMP-00114,Finance,Developer,Oracle,175,3,0,1,3,57,22,5,1,0,1,19.33,0
EMP-00115,Finance,Tech Lead,MongoDB,80,17,14,2,0,14,4,2,1,1,0,0.0,0
EMP-00116,Platform,SRE,SQL Server,124,10,6,3,1,1,41,2,0,1,0,7.5,0
EMP-00117,Data Science,DBA,MySQL,90,9,4,3,2,12,26,8,0,1,1,14.75,0
EMP-00118,Platform,Senior Developer,MySQL,-14,16,12,4,5,93,3,3,1,0,0,84.06,1
EMP-00119,Data Science,Senior Developer,Oracle,68,0,0,0,8,64,12,4,1,0,0,56.73,1
EMP-00120,Compliance,DBA,MySQL,22,13,8,3,4,2,40,6,1,1,0,0.0,1
EMP-00121,Data Science,Security Engineer,Oracle,24,12,10,1,3,81,2,2,1,1,0,0.0,0
EMP-00122,Compliance,Platform Engineer,Oracle,4,12,12,0,4,117,30,10,1,0,0,0.0,0
EMP-00123,Data Science,SRE,MariaDB,36,0,0,0,2,21,39,7,0,1,1,10.35,0
EMP-00124,DevOps,Platform Engineer,SQL Server,-24,12,5,5,1,90,15,3,1,0,1,100.0,1
EMP-00125,Compliance,Developer,PostgreSQL,147,0,0,0,0,8,33,7,1,0,0,0.0,0
EMP-00126,Finance,Analyst,MySQL,20,15,10,4,8,65,37,2,0,0,1,68.48,1
EMP-00127,Finance,Developer,MariaDB,99,20,20,0,6,108,1,4,0,0,0,0.0,0
EMP-00128,Infrastructure,DBA,Oracle,-33,7,3,2,0,35,25,3,1,1,0,90.39,1
EMP-00129,DevOps,Senior DBA,MySQL,20,10,7,3,0,7,7,7,0,1,1,0.0,0
EMP-00130,Data Science,DBA,Oracle,82,14,9,3,0,36,14,8,0,1,0,0.0,0
EMP-00131,Analytics,Analyst,PostgreSQL,174,10,3,6,8,61,40,5,0,0,0,100.0,1
EMP-00132,Platform,Tech Lead,Oracle,-28,15,15,0,5,25,16,3,1,1,1,39.27,0
EMP-00133,Infrastructure,DBA,PostgreSQL,21,10,8,0,3,2,12,2,1,1,0,0.0,0
EMP-00134,Platform,Developer,MySQL,28,8,8,0,1,35,32,5,1,0,0,0.0,0
EMP-00135,Data Science,Tech Lead,MySQL,70,20,15,4,4,6,25,5,0,1,1,0.0,0
EMP-00136,Security,Senior Developer,PostgreSQL,3,3,1,0,3,81,1,6,1,0,0,24.52,0
EMP-00137,Analytics,Platform Engineer,Oracle,96,3,0,1,1,45,42,2,0,0,0,22.5,0
EMP-00138,Finance,Senior DBA,PostgreSQL,30,1,0,1,3,33,13,4,1,1,0,21.67,0
EMP-00139,Security,Manager,Oracle,85,15,7,6,4,37,20,7,1,0,1,33.23,0
EMP-00140,Platform,SRE,MySQL,-13,4,2,2,1,10,49,7,1,1,0,64.96,1
EMP-00141,DevOps,Analyst,Oracle,60,19,17,1,7,110,23,8,1,0,1,0.0,0
EMP-00142,Compliance,Developer,SQL Server,3,8,8,0,8,45,24,8,0,0,0,36.29,0
EMP-00143,Analytics,Developer,Oracle,7,16,11,3,5,44,36,6,1,0,1,8.53,0
EMP-00144,Engineering,Manager,PostgreSQL,85,14,12,1,8,12,34,4,0,0,1,4.51,0
EMP-00145,Engineering,Manager,PostgreSQL,-35,13,11,1,4,19,7,8,1,0,0,26.38,1
EMP-00146,Finance,Senior DBA,Oracle,86,2,0,2,3,4,40,4,0,1,1,57.02,1
EMP-00147,Infrastructure,SRE,MariaDB,70,20,17,3,4,9,17,2,0,1,1,0.0,0
EMP-00148,Operations,Platform Engineer,MariaDB,9,0,0,0,5,112,39,8,0,0,1,47.37,0
EMP-00149,Finance,Tech Lead,MySQL,120,17,10,5,5,5,21,3,0,1,1,44.23,0
EMP-00150,Infrastructure,Security Engineer,PostgreSQL,22,12,5,5,0,71,30,9,0,1,1,20.76,0
EMP-00151,DevOps,Security Engineer,PostgreSQL,6,12,11,0,4,64,25,6,1,1,1,0.0,0
EMP-00152,Data Science,Senior DBA,MySQL,104,7,2,3,0,34,31,5,1,1,1,4.46,0
EMP-00153,DevOps,SRE,MySQL,36,9,7,2,3,34,28,6,1,1,1,0.0,0
EMP-00154,Data Science,Analyst,MySQL,156,14,14,0,9,50,29,7,1,0,0,0.0,0
EMP-00155,Data Science,Analyst,PostgreSQL,5,16,13,3,2,15,42,10,1,0,1,0.0,0
EMP-00156,Infrastructure,Manager,Oracle,-31,15,13,2,7,118,12,4,0,0,0,100.0,1
EMP-00157,DevOps,DBA,MySQL,7,20,18,2,4,2,1,2,0,1,1,0.0,0
EMP-00158,Compliance,Manager,MySQL,81,16,12,4,3,108,45,5,0,0,0,0.0,0
EMP-00159,Engineering,Developer,MySQL,164,13,9,3,5,28,20,2,1,0,1,9.08,0
EMP-00160,Compliance,Senior DBA,Oracle,6,2,1,0,0,33,28,4,0,1,1,23.93,1
EMP-00161,Analytics,Manager,MariaDB,56,3,1,0,3,108,47,4,1,0,0,4.66,0
EMP-00162,Platform,Senior DBA,MySQL,76,16,14,0,2,22,5,10,1,1,0,0.0,0
EMP-00163,Operations,Platform Engineer,SQL Server,88,2,2,0,5,36,8,4,0,0,0,25.46,0
EMP-00164,Finance,Senior Developer,MySQL,10,11,6,5,1,73,31,6,0,0,0,25.65,0
EMP-00165,Infrastructure,Security Engineer,PostgreSQL,3,2,0,1,4,12,50,9,1,1,1,42.99,0
EMP-00166,Operations,Tech Lead,PostgreSQL,-43,10,10,0,1,24,34,7,1,1,0,7.6,0
EMP-00167,Compliance,Senior Developer,PostgreSQL,81,3,1,0,7,51,2,10,1,0,1,16.57,0
EMP-00168,DevOps,Developer,Oracle,-25,14,13,0,4,99,9,4,1,0,0,35.0,0
EMP-00169,DevOps,Manager,Oracle,138,18,14,4,7,64,13,3,1,0,0,4.41,0
EMP-00170,Compliance,Platform Engineer,MySQL,-23,3,1,2,7,37,39,3,0,0,0,100.0,1
EMP-00171,Infrastructure,Manager,MySQL,10,19,12,5,2,40,6,6,1,0,1,0.0,0
EMP-00172,Engineering,Security Engineer,Oracle,3,1,1,0,0,60,50,2,1,1,1,27.31,0
EMP-00173,Data Science,DBA,Oracle,-34,9,7,0,4,32,46,2,1,1,0,82.42,1
EMP-00174,Security,SRE,PostgreSQL,110,2,2,0,0,23,29,9,1,1,1,0.0,0
EMP-00175,Data Science,Developer,MySQL,-8,18,12,4,3,76,6,6,1,0,0,35.08,1
EMP-00176,Data Science,DBA,Oracle,2,9,5,2,2,11,30,9,1,1,1,9.32,0
EMP-00177,Infrastructure,Security Engineer,MongoDB,178,8,6,1,2,64,44,5,0,1,0,0.0,0
EMP-00178,Compliance,Platform Engineer,MySQL,1,15,12,2,8,112,30,7,1,0,1,33.83,0
EMP-00179,DevOps,Developer,PostgreSQL,23,4,0,2,4,70,3,6,1,0,1,37.25,0
EMP-00180,Platform,Tech Lead,Oracle,40,14,7,5,2,13,36,10,1,1,0,0.0,0
EMP-00181,Platform,SRE,MySQL,153,17,12,4,4,10,29,10,1,1,1,0.0,0
EMP-00182,DevOps,Senior DBA,Oracle,6,0,0,0,4,8,7,4,0,1,1,68.04,1
EMP-00183,Security,Tech Lead,PostgreSQL,-45,13,7,4,4,20,6,2,0,1,1,100.0,1
EMP-00184,Operations,SRE,MySQL,3,3,1,1,2,30,29,6,1,1,1,34.38,0
EMP-00185,Operations,Senior Developer,MySQL,-10,0,0,0,0,95,16,8,0,0,1,61.85,1
EMP-00186,DevOps,Senior DBA,SQL Server,98,18,15,2,2,24,46,8,1,1,1,0.0,0
EMP-00187,DevOps,Developer,Oracle,19,19,15,3,3,13,49,8,1,0,0,0.0,0
EMP-00188,Compliance,SRE,Oracle,25,5,3,2,0,19,35,8,0,1,0,0.0,0
EMP-00189,Engineering,Senior Developer,MySQL,59,4,0,3,3,28,13,7,1,0,0,21.58,0
EMP-00190,Operations,DBA,Oracle,65,20,18,1,2,4,7,3,1,1,0,0.0,0
EMP-00191,Security,Manager,Oracle,6,15,13,0,8,114,41,10,1,0,1,0.0,0
EMP-00192,DevOps,Senior DBA,MySQL,16,17,14,2,3,15,50,5,0,1,0,0.0,0
EMP-00193,Compliance,Senior DBA,MySQL,7,9,4,5,0,11,48,2,0,1,1,61.6,1
EMP-00194,Engineering,SRE,PostgreSQL,0,16,10,5,0,20,20,6,1,1,1,4.67,0
EMP-00195,Infrastructure,Developer,SQL Server,2,15,9,5,8,21,28,6,0,0,1,97.72,1
EMP-00196,Infrastructure,Security Engineer,MySQL,62,20,16,2,3,46,42,6,0,1,1,0.0,0
EMP-00197,Data Science,Manager,PostgreSQL,-37,4,1,3,7,71,44,2,0,0,0,100.0,1
EMP-00198,Operations,DBA,MySQL,96,8,3,3,3,9,23,6,1,1,0,12.31,0
EMP-00199,Platform,Manager,MariaDB,105,12,5,5,4,59,7,9,0,0,1,43.22,0
EMP-00200,DevOps,Security Engineer,PostgreSQL,179,8,3,4,1,76,27,7,0,1,0,28.1,0
EMP-00201,Engineering,Platform Engineer,Oracle,123,13,8,4,2,30,17,4,0,0,1,11.93,0
EMP-00202,DevOps,SRE,PostgreSQL,82,4,1,2,3,32,12,4,1,1,1,28.18,0
EMP-00203,Analytics,Developer,PostgreSQL,175,18,16,2,5,111,10,9,0,0,1,0.0,0
EMP-00204,Security,Analyst,PostgreSQL,21,15,9,4,12,83,2,7,0,0,0,85.12,1
EMP-00205,DevOps,Platform Engineer,PostgreSQL,139,12,11,1,1,29,16,10,1,0,1,0.0,0
EMP-00206,Platform,Senior Developer,PostgreSQL,93,9,7,1,4,55,17,5,1,0,1,0.0,0
EMP-00207,Operations,Analyst,PostgreSQL,88,1,0,1,4,47,25,7,0,0,0,27.89,0
EMP-00208,Engineering,Security Engineer,PostgreSQL,20,6,3,2,0,105,13,10,1,1,0,0.0,0
EMP-00209,Security,SRE,Oracle,-31,15,10,5,4,3,45,3,0,1,1,100.0,1
EMP-00210,Platform,SRE,SQL Server,4,17,16,1,0,4,10,2,0,1,1,0.0,0
EMP-00211,Analytics,Manager,MariaDB,49,8,6,1,3,8,30,10,1,0,1,0.0,0
EMP-00212,Compliance,DBA,MySQL,6,3,3,0,1,26,38,8,1,1,1,0.0,0
EMP-00213,DevOps,Senior DBA,Oracle,45,17,13,4,0,27,47,10,0,1,0,0.0,0
EMP-00214,Infrastructure,Analyst,Oracle,57,12,5,5,9,91,43,9,1,0,0,80.24,1
EMP-00215,Operations,Security Engineer,PostgreSQL,66,5,2,3,4,92,27,2,0,1,1,73.55,1
EMP-00216,Security,Developer,MySQL,169,0,0,0,4,115,13,10,1,0,1,5.77,0
EMP-00217,Finance,Tech Lead,Oracle,179,17,15,0,3,14,37,10,1,1,1,0.0,0
EMP-00218,Analytics,Senior DBA,Oracle,53,12,9,2,2,22,1,6,1,1,1,0.0,0
EMP-00219,Security,DBA,MariaDB,43,2,0,2,2,29,18,2,1,1,1,32.56,0
EMP-00220,Analytics,DBA,PostgreSQL,20,11,7,4,3,19,19,4,1,1,0,11.18,0
EMP-00221,Data Science,SRE,Oracle,60,6,4,0,0,2,25,10,1,1,1,0.0,0
EMP-00222,Platform,Tech Lead,PostgreSQL,-27,6,3,3,4,6,49,3,1,1,1,100.0,1
EMP-00223,Operations,Security Engineer,MariaDB,73,20,17,2,2,74,7,9,1,1,1,0.0,0
EMP-00224,DevOps,Tech Lead,MySQL,169,18,13,4,3,2,33,9,1,1,1,0.0,0
EMP-00225,Finance,SRE,Oracle,4,13,7,6,3,22,36,4,1,1,1,66.94,1
EMP-00226,Platform,SRE,PostgreSQL,-5,3,2,0,0,14,33,10,1,1,1,5.74,0
EMP-00227,Platform,Platform Engineer,Oracle,57,9,6,3,5,57,46,6,1,0,0,13.01,0
EMP-00228,Security,Senior DBA,Oracle,3,12,4,6,0,36,4,9,0,1,0,64.11,0
EMP-00229,Platform,Developer,Oracle,152,7,2,3,4,17,43,5,1,0,0,27.58,0
EMP-00230,Operations,Analyst,MySQL,3,1,0,1,7,23,24,7,1,0,1,72.85,1
EMP-00231,Finance,Platform Engineer,MariaDB,170,2,1,1,5,81,18,4,0,0,0,46.86,0
EMP-00232,Security,Tech Lead,MySQL,0,1,1,0,1,19,34,5,1,1,0,10.27,0
EMP-00233,DevOps,Senior Developer,MySQL,7,10,8,0,7,66,48,2,0,0,0,39.62,0
EMP-00234,Analytics,Security Engineer,PostgreSQL,-40,3,0,2,1,72,33,10,1,1,1,87.88,1
EMP-00235,Infrastructure,Security Engineer,Oracle,-45,13,8,5,4,62,38,2,1,1,0,100.0,1
EMP-00236,DevOps,SRE,MongoDB,7,20,12,6,4,20,14,7,1,1,1,23.78,0
EMP-00237,Analytics,Security Engineer,MySQL,144,7,4,2,4,114,14,8,1,1,0,12.62,0
EMP-00238,Platform,Security Engineer,PostgreSQL,132,6,3,1,0,86,50,4,1,1,0,0.0,0
EMP-00239,Compliance,Platform Engineer,Oracle,7,4,2,1,8,86,32,8,1,0,0,68.47,1
EMP-00240,Analytics,Platform Engineer,MySQL,62,12,9,1,4,33,18,8,1,0,1,0.0,0
EMP-00241,DevOps,Developer,MariaDB,-5,0,0,0,5,57,36,5,0,0,1,94.88,1
EMP-00242,Data Science,Manager,Oracle,-8,3,1,2,2,18,32,4,1,0,1,85.82,1
EMP-00243,Data Science,SRE,PostgreSQL,180,19,14,4,1,12,31,3,1,1,1,0.0,0
EMP-00244,Engineering,SRE,PostgreSQL,66,0,0,0,2,29,30,9,0,1,0,0.0,0
EMP-00245,Compliance,Senior Developer,PostgreSQL,95,10,6,4,1,32,29,4,1,0,0,0.0,0
EMP-00246,Operations,Manager,Oracle,3,3,1,0,7,59,42,2,1,0,1,90.39,1
EMP-00247,Compliance,Senior DBA,Oracle,67,11,9,2,4,24,8,7,1,1,0,0.0,0
EMP-00248,Finance,Manager,SQL Server,93,16,13,1,3,85,27,2,1,0,1,0.0,0
EMP-00249,Security,Platform Engineer,Oracle,-16,16,10,5,7,88,9,5,1,0,0,100.0,1
EMP-00250,Infrastructure,Senior DBA,PostgreSQL,57,19,17,1,2,4,39,2,0,1,1,0.0,0
EMP-00251,Engineering,SRE,Oracle,-14,14,10,2,2,22,16,10,0,1,0,43.94,0
EMP-00252,Operations,Analyst,MySQL,77,18,11,5,4,67,44,9,1,0,1,0.0,0
EMP-00253,Analytics,DBA,PostgreSQL,46,18,15,3,1,17,23,4,1,1,1,0.0,0
EMP-00254,Finance,Analyst,PostgreSQL,-11,0,0,0,1,56,22,3,0,0,1,81.38,1
EMP-00255,DevOps,Security Engineer,MySQL,87,9,6,2,3,64,8,10,1,1,1,0.0,0
EMP-00256,DevOps,Developer,MySQL,146,7,7,0,1,68,30,5,1,0,1,0.0,0
EMP-00257,Operations,Senior Developer,Oracle,5,18,15,3,3,63,39,5,0,0,0,0.0,0
EMP-00258,DevOps,Tech Lead,SQL Server,8,3,2,1,7,3,14,7,1,1,1,46.13,0
EMP-00259,Engineering,DBA,MySQL,25,0,0,0,0,33,23,3,0,1,0,6.31,0
EMP-00260,Analytics,Security Engineer,Oracle,3,17,14,2,0,8,5,3,1,1,1,0.0,0
EMP-00261,DevOps,Developer,PostgreSQL,155,1,0,0,5,24,38,5,1,0,1,18.05,0
EMP-00262,Analytics,Developer,SQL Server,36,18,15,3,7,77,25,5,1,0,0,0.0,0
EMP-00263,Engineering,Senior Developer,Oracle,117,14,10,4,8,44,6,5,1,0,0,30.95,0
EMP-00264,Compliance,DBA,MySQL,74,17,10,5,3,31,5,9,1,1,1,0.0,0
EMP-00265,DevOps,Developer,PostgreSQL,7,0,0,0,4,63,23,10,1,0,1,19.18,0
EMP-00266,Compliance,Senior DBA,PostgreSQL,44,13,9,2,1,32,19,9,1,1,0,0.0,0
EMP-00267,Platform,Analyst,PostgreSQL,176,5,2,1,8,34,25,6,0,0,0,52.21,0
